AD	 n. 公元；广告（ad）
part	 n. 部分；角色；零件；一些；片段 v. 分离；分配；分开 adv. 部分地 adj. 部分的
participate	 v. 参与，参加；分享
particular	 adj.  特定的， 某一的； 不寻常的， 特别的， 特有的； 讲究的， 挑剔的；
particular	 adj. 特别的；详细的；独有的；挑剔的 n. 详细说明；个别项目
partly	 adv. 部分地；在一定程度上
partner	 n. 伙伴；合伙人；配偶 v. 合伙；合股；成为搭档
partner	 v.  做…的搭档 n. 配偶，搭档；伙伴，合伙人
party	 n.  社交聚会； 党， 政党； 一方， 当事人
pass	 n. 及格；经过；护照；途径；传球 v. 经过；传递；变化；终止
pass	 v.  经过， 穿过； 传递， 传送； 度过； 通过； 批准
passage	 n.  段落， 章节； 通道； 流逝， 推移
passage	 n. 一段（文章）；走廊；通路
passenger	 n.  乘客， 旅客
passenger	 n. 旅客；乘客；过路人；碍手碍脚的人
passive	 adj. 被动的，消极的；被动语态的 n. 被动语态
passport	 n.  护照
passport	 n. 护照，通行证；手段
past	 adj. 以前的，过去的；结束了的，不复存在的 prep. 晚于，在…之后 n.  昔日，
past	 n. 过去；往事 adj. 过去的；结束的 prep. 越过；晚于 adv. 过；经过
patent	 v. 授予专利；取得…的专利权 adj. 专利的；新奇的；显然的 n. 专利权；执照；专利品
path	 n.  小路， 小径； 路线， 途径， 路径
path	 n. 道路；小路；轨道
patience	 n. 耐性，耐心；忍耐，容忍
patient	 adj. 有耐心的，能容忍的 n. 病人；患者
pattern	 n. 模式；图案；样品 v. 模仿；以图案装饰
pause	 n. 暂停；间歇 v. 暂停，停顿，中止；踌躇
pay	 v. 付钱，支付，交纳 n.  工资， 薪金
pay	 v. 支付，付；偿还，补偿；给予 n. 工资，薪水；付款；报答 adj. 收费的；需付费的
pea	 n. 豌豆
peace	 n.  和平， 和睦； 平静， 安宁， 安静
peace	 n. 和平；平静；和睦；秩序
peaceful	 adj. 和平的，爱好和平的；平静的
peach	 n. 桃子；桃树；桃红色；受人喜欢的人（或物） adj. 桃色的；用桃子制成的 v. 告密
pear	 n.  梨
pear	 n. [园艺] 梨树；梨子
peasant	 n. 农民；乡下人
pedestrian	 adj. 徒步的；缺乏想像力的 n. 行人；步行者
peel	 v. 削…的皮，剥…的壳 n.  皮； 外衣
pen	 n.  钢笔； 圆珠笔； 围栏
pen	 n. 钢笔；作家；围栏 v. 写；关入栏中
pencil	 n.  铅笔
pencil	 n. 铅笔；笔状物 v. 用铅笔写；用眉笔涂
penny	 n.  便士， 分
penny	 n. （美）分；便士
pension	 n. 退休金，抚恤金；津贴；膳宿费 v. 发给养老金或抚恤金
people	 n.  人， 人们； 人民， 民众， 平民； 国民； 民族
people	 n. 人；人类；民族；公民 v. 居住于；使住满人
pepper	 n. 胡椒；辣椒；胡椒粉 v. 加胡椒粉于；使布满
per	 prep. 每；经；按照；每一 n. (Per)人名；(德、挪、丹、瑞典)佩尔
percent	 adj.  百分之… n. 百分比，百分率
percent	 n. 百分比，百分率；部分；百分数 adj. 百分之…的 adv. 以百分之…地
percentage	 n. 百分比；百分率，百分数
perfect	 adj.  完美的， 无瑕的； 完全的， 十足的； 最佳的， 理想的
perfect	 adj. 完美的；最好的；精通的 v. 使完美；使熟练 n. 完成式
perform	 v.  做， 履行， 完成； 演出， 表演
perform	 v. 执行；完成；演奏
performance	 n. 性能；绩效；表演；执行；表现
performer	 n. 演出者；执行者；演奏者
perfume	 n. 香水；香味 v. 洒香水于…；使…带香味
perhaps	 adv.  或许， 大概， 可能
perhaps	 adv. 或许；（表示不确定）也许；（用于粗略的估计）或许；（表示勉强同意或其实不赞成）也许；可能 n. 假定；猜想；未定之事
period	 n.  时间， 时期， 时代； 学时， 课时； 句号， 句点
period	 n. 周期，期间；时期；月经；课时；（语法学）句点，句号 adj. 某一时代的
permanent	 adj. 永久的，永恒的；不变的 n. 烫发（等于permanent wave）
permission	 n.  许可， 允许
permission	 n. 允许，许可
permit	 v. 许可；允许 n. 许可证，执照
person	 n.  人
person	 n. 人；身体；容貌，外表；人称
personal	 adj. 个人的；身体的；亲自的 n. 人事消息栏；人称代名词
personally	 adv. 亲自地；当面；个别地；就自己而言
personnel	 n. 人事部门；全体人员 adj. 人员的；有关人事的
persuade	 v. 说服，劝说；使某人相信；劝某人做（不做）某事 adj. 空闲的，有闲的
pest	 n. 害虫；有害之物；讨厌的人
pet	 adj.  宠爱的， 表示亲昵的 n. 宠物；宠儿
pet	 n. 宠物；生气；受宠爱的人 v. 宠爱 adj. 宠爱的
petrol	 n. （英）汽油
phenomenon	 n. 现象；奇迹；杰出的人才
phone	 n. 电话；耳机，听筒 v. 打电话
phone	 v.  打电话 n. 电话，电话机
photo	 n.  照片
photo	 n. 照片
photograph	 v.  拍照 n. 照片，相片
photograph	 v. 为…拍照；使深深印入 n. 照片，相片
photographer	 n. 摄影师；照相师
phrase	 n. 短语, 习语, 措辞, 乐句 v. 措词, 将(乐曲)分成乐句
phrase	 v.  用语言表达， 叙述 n. 短语，词组，用语
physical	 adj. [物] 物理的；身体的；物质的；根据自然规律的，符合自然法则的 n. 体格检查
physician	 n. [医] 医师；内科医师
physicist	 n. 物理学家；唯物论者
physics	 n.  物理， 物理学
physics	 n. 物理学；物理现象
pianist	 n. 钢琴家；钢琴演奏者
piano	 n. 钢琴
pick	 v. 挑选，选择；采摘 n.  挑选； 选中的人
pick	 v. 挑选；采摘；挖 n. 选择；鹤嘴锄；挖；掩护
picnic	 n. 野餐 v. 去野餐
picnic	 v.  [picnicked-picnicked, picnicking] 去野餐 n. 野餐
picture	 n.  画， 图片， 照片； 描绘； 电影； 头脑中的情景， 印象 v
picture	 n. 照片，图画；影片；景色；化身 v. 画；想像；描写
pie	 n.  派， 馅饼
pie	 n. 馅饼；饼图；爱说话的人 vt. 使杂乱
piece	 n.  片， 块， 段； 断片， 碎块
piece	 n. 块；件；篇；硬币 v. 修补；接合；凑合
pierce	 v.  刺穿， 刺破， 穿透； 穿孔， 打眼
pig	 n. 猪；猪肉 v. 生小猪；像猪一样过活
pile	 n. 堆；大量；建筑群 v. 累积；打桩于
pill	 n. 药丸；弹丸，子弹；口服避孕药 v. 把…制成丸剂；使服用药丸；抢劫，掠夺（古语）
pillow	 n. 枕头 v. 垫；枕于…；使…靠在
pilot	 n. 飞行员；领航员 adj. 试点的 v. 驾驶；领航；试用
pin	 n. 大头针，别针，针；栓；琐碎物 v. 钉住；压住；将……用针别住
pine	 v. 渴望，痛苦；憔悴 n. [林] 松树；凤梨，菠萝 adj. 松木的；似松的
pineapple	 n. [园艺] 菠萝；[园艺] 凤梨 adj. 凤梨科的
pink	 adj. 粉红色的，桃红色的 n.  粉红色， 桃红色
pink	 n. 粉红色；化身，典范；石竹花；头面人物 v. 扎，刺，戳；使…变粉红色；使…面红耳赤 adj. 粉红的；比较激进的；石竹科的；脸色发红的
pint	 n. 品脱；一品脱的量；一品脱牛奶或啤酒
pioneer	 n. 先锋；拓荒者 v. 开辟；倡导；提倡
pioneer	 v.  开拓， 开创 n. 先驱者，倡导者
pipe	 n. 管；烟斗；笛 v. 吹笛；尖叫
pity	 n&v.  同情， 怜悯； 可惜， 遗憾
pity	 n. 怜悯，同情；遗憾 v. 对……表示怜悯；对……感到同情
place	 n.  地方， 地点， 场所； 住所， 寓所； 地位； 资格； 名次， 等级
place	 n. 地方；住所；座位 v. 放置；任命；寄予
plain	 adj. 平的；简单的；朴素的；清晰的 n. 平原；无格式；朴实无华的东西 adv. 清楚地；平易地
plain	 adj. 清晰的，明白的；相貌平平的，无姿色的；不矫饰的，朴素的 n.  平原
plan	 n.  计划， 打算， 规划； 平面图， 示意图； 设计图
plan	 n. 计划；平面图 v. 计划；设计；打算
plane	 n.  飞机； 平面， 水平面
plane	 n. 飞机；平面；程度，水平 v. 刨；乘飞机旅行；翱翔 adj. 平的；平面的
planet	 n.  行星
planet	 n. 行星
plant	 n.  植物； 作物； 工厂
plant	 n. 工厂，车间；植物；设备；庄稼 v. 种植；培养；栽培；安置
plastic	 adj. 塑料的；可塑的
plastic	 adj. 塑料的；（外科）造型的；可塑的 n. 塑料制品；整形；可塑体
plate	 n.  盘子； 金属牌； 感光底片
plate	 n. 碟；金属板；金属牌；感光底片 v. 电镀；给…装甲
platform	 n. 平台；月台，站台；坛；讲台
play	 v.  玩， 游戏； 演奏， 播放； 扮演， 演出； 参加， 打
play	 v. 游戏；扮演；演奏；播放；同…比赛 n. 游戏；比赛；剧本
player	 n.  选手， 队员； 做游戏的人； 演员； 演奏者； 播
player	 n. 运动员，比赛者；游戏者，做游戏的人；演奏者，表演者；演员；播放器
playground	 n. 运动场，操场；游乐场
playmate	 n. 玩伴；游伴
playroom	 n. 游戏室；娱乐室
pleasant	 adj.  舒适的； 令人愉快的； 讨人喜欢的
pleasant	 adj. 令人愉快的，舒适的；讨人喜欢的，和蔼可亲的 n. (Pleasant)人名；(英)普莱曾特
please	 v.  使愉快， 使高兴； 使满意， 合…的心意 int. 请
please	 v. 使喜欢；使高兴，使满意 int. 请（礼貌用语）
pleased	 adj. 高兴的；喜欢的；乐意做某事 v. 满意；愿意（please的过去分词形式）
pleasure	 n.  高兴， 愉快； 满足； 乐事， 快事
pleasure	 n. 快乐；希望；娱乐；令人高兴的事 vt. 使高兴；使满意 vi. 高兴；寻欢作乐
plenty	 n.  丰富， 充足， 大量
plenty	 n. 丰富，大量；充足 adj. 足够的，很多的 adv. 足够
plot	 n. 情节；图；阴谋 v. 密谋；绘图；划分；标绘
plug	 n. 插头；塞子；栓 v. 塞住；用插头将与电源接通
plus	 n. 正号，加号；好处；附加额 adj. 正的；附加的 prep. 加，加上
pocket	 n. 口袋；钱；容器 v. 隐藏；忍受；将…放入衣袋 adj. 小型的，袖珍的；金钱上的
pocket	 v. 把…装入口袋 adj.  袖珍的， 小型的 n. 衣袋，口袋；容器
poem	 n.  诗
poem	 n. 诗
poet	 n. 诗人
point	 n.  要点； 观点； 点； 小数点； 时刻， 地点； 尖， 尖端； 分数， 得分
point	 n. 要点；得分；标点；[机] 尖端 v. 指向；弄尖；加标点于
poison	 v. 污染；使中毒，放毒于；败坏；阻碍 n. 毒药，毒物；酒；有毒害的事物；[助剂] 抑制剂 adj. 有毒的
poisonous	 adj. 有毒的；恶毒的；讨厌的
polar	 adj.  地极的， 近地极的； 磁极的； 正好相反的， 截然对立的
pole	 n. 杆；极点；电极 v. 用竿支撑
police	 n.  警方， 警察； 治安
police	 n. 警察，警方；治安 v. 监督；管辖；维持治安；为…配备警察 adj. 警察的；有关警察的
policeman	 n. 警察，警员；[分化] 淀帚（橡皮头玻璃搅棒）
policy	 n. 政策，方针；保险单
polish	 n. 磨光，擦亮；擦亮剂；优雅，精良 v. 擦亮，变光滑 adj. 波兰的
polite	 adj.  有礼貌的， 客气的； 有教养的， 文雅的
polite	 adj. 有礼貌的，客气的；文雅的；上流的；优雅的
political	 adj. 政治的；党派的
politician	 n. 政治家，政客
politics	 n. 政治，政治学；政治活动；政纲
pollute	 v. 污染；玷污；败坏
pollution	 n.  污染
pollution	 n. 污染
pond	 n.  池塘
pond	 vt. 筑成池塘 vi. 筑成池塘 n. 池塘
pool	 n.  池塘， 水池； 游泳池； 一摊， 一片
pool	 n. 联营；撞球；水塘；共同资金 v. 联营，合伙经营
poor	 adj.  贫困的， 贫穷的； 可怜的； 低劣的， 差的
poor	 adj. 贫穷的；可怜的；贫乏的；卑鄙的 n. (Poor)人名；(英、伊朗)普尔
pop	 abbr. 卖点广告（Point of Purchase）
pop	 v. 突然[出人意料]地从〔某物〕中出来，蹦出，离开，脱落 n. 流行音乐，流行歌曲
popcorn	 n.  爆米花
popcorn	 n. 爆米花，爆玉米花
popular	 adj.  流行的， 通俗的， 大众的； 受欢迎的
popular	 adj. 流行的，通俗的；受欢迎的；大众的；普及的
popularity	 n.  普及； 流行
population	 n.  人口； 某领域的生物； 族群； 人口
population	 n. 人口；[生物] 种群，[生物] 群体；全体居民
pork	 n.  猪肉
pork	 n. 猪肉 vt. 与女子性交
porridge	 n.  粥， 麦片粥
porridge	 n. 粥，糊；麦片粥 vt. 服刑
port	 n. 港口，口岸；（计算机的）端口；左舷；舱门 v. 转向左舷
portable	 adj. 手提的，便携式的；轻便的 n. 手提式打字机
porter	 n. 门房；服务员；行李搬运工；守门人
position	 n. 位置，方位；职位，工作；姿态；站位 v. 安置；把……放在适当位置
position	 v.  安放， 安置 n. 位置，方位；职位，职务；姿势，姿态；立场
positive	 adj.  积极的， 正面的； 肯定的； 【电】正的， 阳性的； 确实的， 明确的； 十足的，
possess	 v. 控制；使掌握；持有；迷住；拥有，具备
possession	 n. 拥有；财产；领地；自制；着迷
possibility	 n. 可能性；可能发生的事物
possible	 adj.  可能的， 做得到的； 可接受的， 合理的
possible	 adj. 可能的；合理的；合适的 n. 可能性；合适的人；可能的事物
possibly	 adv.  大概， 也许
possibly	 adv. 可能地；也许；大概
post	 n.  职位， 岗位 ； 柱， 标杆； 起点或终点标志
post	 n. 岗位；邮件；标杆 v. 张贴；公布；邮递；布置
postage	 n. 邮资，邮费
postbox	 n. 邮箱
postcard	 n.  明信片
postcard	 n. 明信片
postcode	 n. （英）邮政编码；邮区号
poster	 n.  招贴， 海报， 广告
poster	 n. 海报，广告；招贴
postman	 n.  邮递员
postman	 n. 邮递员；邮差
postpone	 v. 使…延期；把…放在次要地位；把…放在后面
pot	 n. 壶；盆；罐 v. 把…装罐；射击；节略
potato	 n. [作物] 土豆，[作物] 马铃薯
potato	 n. 马铃薯，土豆
potential	 n. 潜能；可能性；[电] 电势 adj. 潜在的；可能的；势的
pound	 n. 英镑；重击，重击声；兽栏；拘留所 v. 捣烂；敲打；监禁，拘留
pound	 v.  强烈打击， 猛击； 心怦怦跳； 费力地移动 n. 磅；英镑
pour	 n. 倾泻；流出；骤雨 v. 灌，注；倒；倾泻；倾吐
pour	 v.  灌， 倒； 倾泻， 流出
powder	 n. 粉；粉末；[化工][军] 火药；尘土 v. 使成粉末；撒粉；搽粉于
power	 n. 力量，能力；电力，功率；政权，势力；[数] 幂 v. 激励；供以动力；使…有力量 adj. 借影响有权势人物以操纵权力的
powerful	 adj. 强大的；强有力的 adv. 很；非常
practical	 adj. 实际的；实用性的
practice	 n.  实践； 实践行动； 练习； 惯例， 习俗
practice	 n. 实践；练习；惯例 v. 练习；实习；实行
prairie	 n. 大草原；牧场
praise	 n. 赞扬；称赞；荣耀；崇拜 v. 赞美，歌颂；表扬
praise	 v. 赞扬，表扬 n.  称赞， 赞美； 赞美的话
pray	 v. 祈祷；恳求；央求 n. (Pray)人名；(匈)普劳伊；(英)普雷
prayer	 n. 祈祷，祷告；恳求；祈祷文
precious	 adj. 宝贵的；珍贵的；矫揉造作的 n. (Precious)人名；(英)普雷舍斯，普雷舍丝(女名)
precise	 adj. 精确的；明确的；严格的
predict	 v.  预言， 预测
predict	 v. 预报，预言；预知
prediction	 n.  预言； 预料； 预报
prefer	 v.  更喜欢， 宁愿
prefer	 v. 更喜欢；宁愿；提出；提升
